Date,Open,High,Low,Close,Adj Close,Volume
2012-12-13,3654.219971,3659.100098,3633.350098,3643.129883,3643.129883,105850400.0
2012-12-14,3643.699951,3652.959961,3631.879883,3643.280029,3643.280029,182944400.0
2012-12-17,3633.169922,3639.870117,3611.120117,3638.100098,3638.100098,136648200.0
2012-12-18,3650.25,3656.469971,3631.610107,3648.629883,3648.629883,189095600.0
2012-12-19,3661.629883,3670.199951,3650.5,3664.590088,3664.590088,155859400.0
2012-12-20,3652.409912,3674.570068,3652.080078,3666.72998,3666.72998,156365400.0
2012-12-21,3650.25,3667.02002,3637.889893,3661.399902,3661.399902,274258800.0
2012-12-27,3652.449951,3684.159912,3652.449951,3674.26001,3674.26001,55635000.0
2012-12-28,3677.0,3680.110107,3618.669922,3620.25,3620.25,49791000.0
2013-01-02,3702.659912,3733.929932,3692.899902,3733.929932,3733.929932,90342600.0
2013-01-03,3724.300049,3726.969971,3703.830078,3721.169922,3721.169922,58745000.0
2013-01-04,3713.320068,3731.129883,3696.540039,3730.02002,3730.02002,64316800.0
2013-01-07,3731.48999,3732.649902,3696.51001,3704.639893,3704.639893,82577200.0
2013-01-08,3694.209961,3731.23999,3692.899902,3705.879883,3705.879883,90902400.0
2013-01-09,3722.090088,3730.050049,3703.530029,3717.449951,3717.449951,130148400.0
2013-01-10,3716.080078,3727.350098,3694.070068,3703.120117,3703.120117,140769400.0
2013-01-11,3708.879883,3714.449951,3683.820068,3706.02002,3706.02002,83582800.0
2013-01-14,3721.629883,3730.040039,3704.169922,3708.25,3708.25,29746400.0
2013-01-15,3697.209961,3718.300049,3689.340088,3697.350098,3697.350098,103642200.0
2013-01-16,3694.429932,3715.149902,3680.610107,3708.48999,3708.48999,90940200.0
2013-01-17,3709.120117,3754.169922,3705.040039,3744.110107,3744.110107,97595600.0
2013-01-18,3758.379883,3760.949951,3735.709961,3741.580078,3741.580078,100071000.0
2013-01-21,3747.580078,3763.419922,3739.449951,3763.030029,3763.030029,57381200.0
