Date,Open,High,Low,Close,Adj Close,Volume
2012-12-13,6967.560059,6969.509766,6913.680176,6919.540039,6919.540039,35047600.0
2012-12-14,6925.399902,6926.720215,6894.049805,6902.509766,6902.509766,37543200.0
2012-12-17,6897.759766,6900.140137,6879.609863,6897.100098,6897.100098,35869800.0
2012-12-18,6918.939941,6931.109863,6904.240234,6912.089844,6912.089844,43524400.0
2012-12-19,6931.790039,6972.089844,6925.310059,6946.069824,6946.069824,46616600.0
2012-12-20,6921.990234,6930.339844,6908.319824,6912.790039,6912.790039,40802600.0
2012-12-21,6916.259766,6926.72998,6868.240234,6889.540039,6889.540039,84659300.0
2012-12-27,6877.279785,6892.870117,6858.839844,6862.549805,6862.549805,31306200.0
2012-12-28,6871.569824,6879.22998,6822.439941,6822.439941,6822.439941,27251200.0
2013-01-03,6975.160156,7020.459961,6970.799805,7020.459961,7020.459961,51036700.0
2013-01-04,7015.47998,7059.120117,7004.580078,7058.919922,7058.919922,29547400.0
2013-01-07,7062.399902,7073.129883,7049.200195,7049.299805,7049.299805,40929500.0
2013-01-08,7051.370117,7088.529785,7046.25,7074.52002,7074.52002,38609200.0
2013-01-09,7097.810059,7152.640137,7094.950195,7151.600098,7151.600098,50988900.0
2013-01-10,7163.120117,7175.089844,7139.240234,7143.72998,7143.72998,40426100.0
2013-01-11,7175.330078,7194.330078,7155.279785,7188.220215,7188.220215,41661700.0
2013-01-14,7212.569824,7230.77002,7187.529785,7202.52002,7202.52002,44956700.0
2013-01-15,7203.720215,7272.509766,7201.149902,7272.310059,7272.310059,45428700.0
2013-01-16,7272.120117,7319.350098,7259.620117,7304.850098,7304.850098,45547500.0
2013-01-17,7324.669922,7430.540039,7321.890137,7429.890137,7429.890137,54810700.0
2013-01-18,7449.180176,7457.649902,7363.040039,7368.799805,7368.799805,79830400.0
2013-01-21,7362.930176,7375.970215,7310.620117,7336.049805,7336.049805,33469400.0
2013-01-22,7339.629883,7340.709961,7280.439941,7291.850098,7291.850098,42079000.0
2013-01-23,7329.450195,7406.459961,7325.75,7391.950195,7391.950195,53754800.0
2013-01-24,7391.629883,7465.759766,7380.390137,7457.740234,7457.740234,51435500.0
2013-01-25,7443.189941,7468.379883,7435.830078,7458.660156,7458.660156,40081300.0
2013-01-28,7470.910156,7495.830078,7462.97998,7483.950195,7483.950195,35187400.0
2013-01-29,7460.209961,7465.97998,7414.069824,7458.029785,7458.029785,36414200.0
2013-01-30,7453.390137,7456.470215,7380.959961,7387.899902,7387.899902,40828600.0
