unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1670889600,2022-12-13,XRP/USD,0.38738,0.38777,0.38703,0.38703,47880.40851845,18531.154508895703
1670803200,2022-12-12,XRP/USD,0.3806,0.38976,0.37076,0.38712,82006573.79241082,31746384.846518077
1670716800,2022-12-11,XRP/USD,0.38654,0.38857,0.37821,0.38084,16320077.5181875,6215338.3220265275
1670630400,2022-12-10,XRP/USD,0.38893,0.38903,0.38568,0.38664,3659013.98641548,1414721.167707681
1670544000,2022-12-09,XRP/USD,0.39449,0.39505,0.38455,0.38885,63733437.1151406,24782747.022222426
1670457600,2022-12-08,XRP/USD,0.38329,0.39617,0.38271,0.39432,31624812.56331362,12470296.089965826
1670371200,2022-12-07,XRP/USD,0.39131,0.39236,0.37363,0.38346,56051051.82497416,21493336.33280459
1670284800,2022-12-06,XRP/USD,0.38928,0.39236,0.38015,0.39138,55215676.11062914,21610311.316178035
1670198400,2022-12-05,XRP/USD,0.38942,0.39528,0.38004,0.38955,57598301.85517168,22437418.48768213
1670112000,2022-12-04,XRP/USD,0.38774,0.39317,0.38633,0.38952,19547696.55928546,7614218.763772871
1670025600,2022-12-03,XRP/USD,0.39579,0.39695,0.38536,0.38716,7263277.46101233,2812050.5018055337
1669939200,2022-12-02,XRP/USD,0.39673,0.3974,0.38366,0.39583,38380817.79619629,15192279.108268378
1669852800,2022-12-01,XRP/USD,0.40769,0.40929,0.39432,0.39684,35346447.71574628,14026884.311516756
1669766400,2022-11-30,XRP/USD,0.3978,0.41124,0.39254,0.40789,42165295.86174116,17198802.5290456
1669680000,2022-11-29,XRP/USD,0.38864,0.40354,0.38188,0.39808,68001949.1143795,27070215.903452188
1669593600,2022-11-28,XRP/USD,0.3964,0.39869,0.37192,0.38875,117835591.88558316,45808586.34552045
1669507200,2022-11-27,XRP/USD,0.39673,0.40904,0.39452,0.39666,7809617.06770137,3097762.7060744255
1669420800,2022-11-26,XRP/USD,0.40763,0.41373,0.39304,0.39601,7503587.29657617,2971495.605317129
1669334400,2022-11-25,XRP/USD,0.39917,0.41832,0.38858,0.40732,26294647.83575223,10710335.956458598
1669248000,2022-11-24,XRP/USD,0.38118,0.40437,0.37367,0.40137,26253459.70951045,10537351.123606209
1669161600,2022-11-23,XRP/USD,0.37535,0.38151,0.36704,0.38119,67191492.15136173,25612724.893177576
1669075200,2022-11-22,XRP/USD,0.36307,0.37722,0.34797,0.37525,80475124.32957613,30198290.40467344
1668988800,2022-11-21,XRP/USD,0.36075,0.3679,0.34359,0.36413,121969497.53661902,44412753.138009086
1668902400,2022-11-20,XRP/USD,0.38357,0.3957,0.3586,0.36086,28109429.43119652,10143568.704541575
1668816000,2022-11-19,XRP/USD,0.3826,0.38787,0.37516,0.38396,7717973.34889378,2963393.047041256
1668729600,2022-11-18,XRP/USD,0.38148,0.38767,0.37382,0.38234,29351701.28106375,11222329.467801915
1668643200,2022-11-17,XRP/USD,0.37498,0.38673,0.36863,0.38142,46642781.56475312,17790489.744428135
1668556800,2022-11-16,XRP/USD,0.3877,0.3906,0.36129,0.37499,47644529.89479743,17866222.265250087
1668470400,2022-11-15,XRP/USD,0.3768,0.39698,0.36604,0.38817,79781350.5276035,30968726.834299855
1668384000,2022-11-14,XRP/USD,0.33973,0.37854,0.32021,0.3772,152687879.9465573,57593868.31584143
1668297600,2022-11-13,XRP/USD,0.36251,0.36877,0.33261,0.34049,26014499.7072706,8857677.005328568
1668211200,2022-11-12,XRP/USD,0.3834,0.38381,0.35911,0.36328,11562584.45301405,4200455.680090944
1668124800,2022-11-11,XRP/USD,0.39247,0.39709,0.36554,0.38323,27493340.60259651,10536272.919133062
1668038400,2022-11-10,XRP/USD,0.33176,0.40155,0.3293,0.39339,93067806.18761992,36611944.276147805
1667952000,2022-11-09,XRP/USD,0.40598,0.41141,0.31488,0.33137,116562296.1225372,38625248.066125154
1667865600,2022-11-08,XRP/USD,0.46471,0.46672,0.33604,0.40624,164171936.0032392,66693207.28195588
1667779200,2022-11-07,XRP/USD,0.47093,0.47993,0.45876,0.46498,70532230.26803002,32796076.4300286
1667692800,2022-11-06,XRP/USD,0.49212,0.49457,0.46818,0.47115,14729094.40729979,6939612.829999297
1667606400,2022-11-05,XRP/USD,0.50638,0.5097,0.48924,0.49315,10278251.28877126,5068719.623057547
1667520000,2022-11-04,XRP/USD,0.45461,0.50739,0.45338,0.50664,32791804.40309902,16613639.782786086
1667433600,2022-11-03,XRP/USD,0.44983,0.45953,0.44915,0.45502,12580639.07707743,5724442.392851772
1667347200,2022-11-02,XRP/USD,0.46362,0.46562,0.4455,0.45006,12955022.76787646,5830537.54691048
1667260800,2022-11-01,XRP/USD,0.46389,0.46692,0.4543,0.46355,24752684.62630005,11474106.95852139
1667174400,2022-10-31,XRP/USD,0.45833,0.46739,0.44751,0.46474,52874499.47356925,24572894.885346573
1667088000,2022-10-30,XRP/USD,0.47045,0.47327,0.4539,0.45835,18081462.17401494,8287638.187459748
1667001600,2022-10-29,XRP/USD,0.47456,0.4838,0.46651,0.47046,15154355.01748669,7129517.861526788
1666915200,2022-10-28,XRP/USD,0.46159,0.47554,0.45646,0.47441,13752395.84896038,6524274.114705293
1666828800,2022-10-27,XRP/USD,0.46859,0.48211,0.45876,0.4636,13714851.26317112,6358205.045606132
1666742400,2022-10-26,XRP/USD,0.46136,0.47136,0.45654,0.46893,28121650.72864836,13187085.676185075
1666656000,2022-10-25,XRP/USD,0.45296,0.47281,0.44312,0.46073,51560001.9356413,23755239.691808015
1666569600,2022-10-24,XRP/USD,0.469,0.47282,0.44817,0.45333,67307742.083298,30512618.71862148
1666483200,2022-10-23,XRP/USD,0.46591,0.4724,0.45194,0.46889,7575811.04291861,3552222.039914107
1666396800,2022-10-22,XRP/USD,0.46201,0.47054,0.45641,0.46521,4185897.4080806,1947321.333213176
1666310400,2022-10-21,XRP/USD,0.44655,0.46177,0.43489,0.46174,45122248.4646982,20834747.006089747
1666224000,2022-10-20,XRP/USD,0.45036,0.46452,0.42254,0.44669,41676766.66548673,18616594.901806265
1666137600,2022-10-19,XRP/USD,0.46583,0.46648,0.4473,0.45068,34260510.42391086,15440526.83784815
1666051200,2022-10-18,XRP/USD,0.48132,0.48411,0.45737,0.46587,49118020.03037803,22882611.99155221
1665964800,2022-10-17,XRP/USD,0.47653,0.48225,0.46282,0.47963,63167389.16558627,30296974.865490142
1665878400,2022-10-16,XRP/USD,0.4819,0.48719,0.46823,0.47677,6455915.01996543,3077986.604068918
1665792000,2022-10-15,XRP/USD,0.48864,0.49012,0.4779,0.4814,3555500.18685331,1711617.7899511834
1665705600,2022-10-14,XRP/USD,0.48017,0.51176,0.47854,0.48844,44534177.69375714,21752273.752738737
1665619200,2022-10-13,XRP/USD,0.48791,0.48937,0.43804,0.4792,57614202.81119041,27608725.987122446
1665532800,2022-10-12,XRP/USD,0.48602,0.49597,0.47792,0.48863,31751517.47629766,15514743.984443327
1665446400,2022-10-11,XRP/USD,0.49304,0.50205,0.476,0.48601,66473818.44017547,32306940.50010968
1665360000,2022-10-10,XRP/USD,0.53171,0.5378,0.49354,0.49354,78837817.07900925,38909616.24117422
1665273600,2022-10-09,XRP/USD,0.5158,0.548,0.50646,0.53189,11795976.41447534,6274161.895095289
1665187200,2022-10-08,XRP/USD,0.51657,0.529,0.51178,0.51638,7102822.89478274,3667755.68640791
1665100800,2022-10-07,XRP/USD,0.49238,0.53331,0.48203,0.51938,50617639.63013671,26289789.671100404
1665014400,2022-10-06,XRP/USD,0.48874,0.5059,0.4886,0.49288,48099864.36122714,23707461.14636163
1664928000,2022-10-05,XRP/USD,0.47947,0.50154,0.47183,0.4894,65404181.9421797,32008806.642502747
1664841600,2022-10-04,XRP/USD,0.46261,0.48557,0.45148,0.47948,72892272.83813536,34950386.98042914
1664755200,2022-10-03,XRP/USD,0.44753,0.4693,0.43754,0.46238,91254276.62226504,42194152.42460291
1664668800,2022-10-02,XRP/USD,0.47517,0.4785,0.44354,0.4481,20974416.45367137,9398636.01289014
1664582400,2022-10-01,XRP/USD,0.47918,0.48604,0.46704,0.47535,9576568.15227902,4552221.671185832
1664496000,2022-09-30,XRP/USD,0.48754,0.49854,0.46906,0.47947,94190048.3157242,45161302.46594029
1664409600,2022-09-29,XRP/USD,0.44886,0.50952,0.42642,0.4859,74442132.48914605,36171432.17647607
1664323200,2022-09-28,XRP/USD,0.44604,0.45504,0.41704,0.44905,73242904.68858524,32889726.3504092
1664236800,2022-09-27,XRP/USD,0.46851,0.48744,0.435,0.44554,88795508.49159323,39561950.85334445
1664150400,2022-09-26,XRP/USD,0.49228,0.50156,0.45754,0.46839,123858396.53908025,58014034.35493979
1664064000,2022-09-25,XRP/USD,0.48782,0.52053,0.47581,0.49174,38592205.66417613,18977331.21330197
1663977600,2022-09-24,XRP/USD,0.50644,0.5194,0.47204,0.4879,30410992.03658554,14837523.014650084
1663891200,2022-09-23,XRP/USD,0.48654,0.55829,0.45649,0.50676,154337494.3646882,78212068.6442494
1663804800,2022-09-22,XRP/USD,0.3934,0.49954,0.39279,0.48468,81310225.41048607,39409440.05195439
1663718400,2022-09-21,XRP/USD,0.41278,0.4335,0.38055,0.39587,84388246.05978972,33406774.967688955
1663632000,2022-09-20,XRP/USD,0.3856,0.42304,0.36949,0.41558,107585949.53034632,44710568.90582133
1663545600,2022-09-19,XRP/USD,0.3579,0.39287,0.3398,0.38471,115520840.29320848,44442022.46920024
1663459200,2022-09-18,XRP/USD,0.37632,0.39754,0.35572,0.35783,41050602.65439016,14689137.147820432
1663372800,2022-09-17,XRP/USD,0.35513,0.38039,0.34627,0.37617,23571005.27228134,8866705.053274073
1663286400,2022-09-16,XRP/USD,0.32592,0.35807,0.32127,0.35508,44807003.25817634,15910070.716913257
1663200000,2022-09-15,XRP/USD,0.34165,0.34264,0.32441,0.3262,141660126.62680444,46209533.30566361
1663113600,2022-09-14,XRP/USD,0.33251,0.34404,0.33137,0.34161,58719212.30729181,20059070.11629396
