,unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
0,1670889600,2022-12-13,BTC/USD,17214.0,17239.0,17207.0,17207.0,3.43635298,59129.32572686
1,1670803200,2022-12-12,BTC/USD,17089.0,17240.0,16881.0,17209.0,1695.0565253,29170227.7438877
2,1670716800,2022-12-11,BTC/USD,17128.0,17264.0,17080.0,17091.0,1239.3577856,21181863.9136896
3,1670630400,2022-12-10,BTC/USD,17129.0,17223.0,17100.0,17128.0,677.74180701,11608361.67046728
4,1670544000,2022-12-09,BTC/USD,17229.0,17353.0,17073.0,17128.0,1226.70564841,21011014.34596648
5,1670457600,2022-12-08,BTC/USD,16838.0,17296.0,16734.0,17229.0,1724.69349744,29714744.26739376
6,1670371200,2022-12-07,BTC/USD,17091.0,17131.0,16736.0,16836.0,1185.39328287,19957281.31039932
7,1670284800,2022-12-06,BTC/USD,16968.0,17101.0,16914.0,17087.0,1303.37122474,22270704.117132377
8,1670198400,2022-12-05,BTC/USD,17113.0,17418.0,16879.0,16968.0,2251.51957602,38203784.16590736
9,1670112000,2022-12-04,BTC/USD,16893.0,17195.0,16890.0,17114.0,1603.5516013,27443182.1046482
10,1670025600,2022-12-03,BTC/USD,17095.0,17150.0,16868.0,16886.0,1177.01264514,19875035.52583404
11,1669939200,2022-12-02,BTC/USD,16976.0,17102.0,16800.0,17095.0,2329.03284999,39814816.57057905
12,1669852800,2022-12-01,BTC/USD,17166.0,17250.0,16864.0,16977.0,3207.29094124,54450178.30943148
13,1669766400,2022-11-30,BTC/USD,16437.0,17223.0,16430.0,17170.0,4442.42726142,76276476.0785814
14,1669680000,2022-11-29,BTC/USD,16205.0,16529.0,16102.0,16434.0,2310.87079583,37976850.658670224
15,1669593600,2022-11-28,BTC/USD,16420.0,16477.0,16004.0,16210.0,3254.70177817,52758715.8241357
16,1669507200,2022-11-27,BTC/USD,16451.0,16587.0,16402.0,16424.0,1189.79470656,19541188.26054144
17,1669420800,2022-11-26,BTC/USD,16511.0,16685.0,16387.0,16454.0,1503.64131011,24740914.11654994
18,1669334400,2022-11-25,BTC/USD,16589.0,16604.0,16339.0,16508.0,2043.43507991,33733026.29915428
19,1669248000,2022-11-24,BTC/USD,16594.0,16783.0,16456.0,16591.0,2141.4844617,35529368.7040647
20,1669161600,2022-11-23,BTC/USD,16199.0,16647.0,16150.0,16603.0,3505.29313128,58198381.85864184
21,1669075200,2022-11-22,BTC/USD,15757.0,16281.0,15613.0,16197.0,3718.55455894,60229428.19115118
22,1668988800,2022-11-21,BTC/USD,16250.0,16269.0,15479.0,15766.0,5633.48780213,88817568.68838158
23,1668902400,2022-11-20,BTC/USD,16687.0,16730.0,16169.0,16256.0,1827.05676561,29700634.78175616
24,1668816000,2022-11-19,BTC/USD,16683.0,16799.0,16548.0,16690.0,1377.3963971,22988745.867599
25,1668729600,2022-11-18,BTC/USD,16687.0,16971.0,16540.0,16683.0,2673.28041964,44598337.24085412
26,1668643200,2022-11-17,BTC/USD,16655.0,16724.0,16412.0,16686.0,2458.66689134,41025315.74889924
27,1668556800,2022-11-16,BTC/USD,16875.0,16980.0,16371.0,16654.0,4035.80042365,67212220.2554671
28,1668470400,2022-11-15,BTC/USD,16586.0,17095.0,16511.0,16874.0,5633.3993478,95057980.5947772
29,1668384000,2022-11-14,BTC/USD,16300.0,17130.0,15784.0,16589.0,7964.34006887,132120437.40248445
30,1668297600,2022-11-13,BTC/USD,16788.0,17240.0,16263.0,16310.0,2703.91194662,44100803.8493722
31,1668211200,2022-11-12,BTC/USD,17020.0,17054.0,16610.0,16788.0,1882.26415655,31599450.6601614
32,1668124800,2022-11-11,BTC/USD,17548.0,17645.0,16394.0,17007.0,5636.75561159,95864302.68631113
33,1668038400,2022-11-10,BTC/USD,15900.0,18150.0,15748.0,17551.0,8375.25692463,146994134.28418115
34,1667952000,2022-11-09,BTC/USD,18546.0,18588.0,15632.0,15877.0,8350.5654456,132581927.5797912
35,1667865600,2022-11-08,BTC/USD,20591.0,20669.0,17114.0,18550.0,12035.90178845,223265978.1757475
36,1667779200,2022-11-07,BTC/USD,20899.0,21070.0,20400.0,20590.0,1417.99563473,29196530.1190907
37,1667692800,2022-11-06,BTC/USD,21299.0,21364.0,20899.0,20907.0,551.95849001,11539796.15063907
38,1667606400,2022-11-05,BTC/USD,21152.0,21473.0,21089.0,21301.0,774.12522007,16489641.31271107
39,1667520000,2022-11-04,BTC/USD,20209.0,21290.0,20184.0,21153.0,3501.47535754,74066708.23804362
40,1667433600,2022-11-03,BTC/USD,20152.0,20387.0,20039.0,20209.0,1004.11893277,20292239.51234893
41,1667347200,2022-11-02,BTC/USD,20480.0,20802.0,20055.0,20154.0,2292.08236192,46194627.92213568
42,1667260800,2022-11-01,BTC/USD,20493.0,20681.0,20334.0,20480.0,1276.69180973,26146648.2632704
43,1667174400,2022-10-31,BTC/USD,20631.0,20833.0,20243.0,20498.0,1880.02456732,38536743.58092536
44,1667088000,2022-10-30,BTC/USD,20820.0,20931.0,20525.0,20628.0,679.83876303,14023714.00378284
45,1667001600,2022-10-29,BTC/USD,20596.0,21078.0,20566.0,20821.0,1213.18946622,25259817.87616662
46,1666915200,2022-10-28,BTC/USD,20295.0,20750.0,20008.0,20599.0,1827.61380674,37647016.80503726
47,1666828800,2022-10-27,BTC/USD,20771.0,20872.0,20210.0,20296.0,1669.88399576,33891965.577944964
48,1666742400,2022-10-26,BTC/USD,20096.0,21012.0,20062.0,20775.0,2711.06904662,56322459.4435305
49,1666656000,2022-10-25,BTC/USD,19332.0,20418.0,19222.0,20087.0,2804.51314609,56334255.56550983
50,1666569600,2022-10-24,BTC/USD,19576.0,19588.0,19169.0,19332.0,1155.8634844,22345152.8804208
51,1666483200,2022-10-23,BTC/USD,19208.0,19689.0,19079.0,19574.0,1195.62013587,23403068.53951938
52,1666396800,2022-10-22,BTC/USD,19166.0,19250.0,19118.0,19206.0,455.42088912,8746813.59643872
53,1666310400,2022-10-21,BTC/USD,19043.0,19245.0,18660.0,19165.0,1923.43991085,36862725.89144025
54,1666224000,2022-10-20,BTC/USD,19128.0,19340.0,18913.0,19043.0,1491.66449329,28405766.945721474
55,1666137600,2022-10-19,BTC/USD,19329.0,19356.0,19078.0,19126.0,1302.59535401,24913438.74079526
56,1666051200,2022-10-18,BTC/USD,19547.0,19700.0,19099.0,19334.0,1524.52635389,29475192.526109263
57,1665964800,2022-10-17,BTC/USD,19262.0,19672.0,19160.0,19547.0,1141.62350258,22315314.604931258
58,1665878400,2022-10-16,BTC/USD,19072.0,19425.0,19067.0,19264.0,417.01160964,8033311.64810496
59,1665792000,2022-10-15,BTC/USD,19184.0,19229.0,18990.0,19066.0,331.43098278,6319063.1176834805
60,1665705600,2022-10-14,BTC/USD,19374.0,19947.0,19083.0,19181.0,1313.80111372,25200019.162263323
61,1665619200,2022-10-13,BTC/USD,19156.0,19504.0,18183.0,19377.0,2920.78208384,56595994.43856768
62,1665532800,2022-10-12,BTC/USD,19061.0,19229.0,18967.0,19157.0,870.27070879,16671775.96829003
63,1665446400,2022-10-11,BTC/USD,19131.0,19265.0,18853.0,19059.0,1332.93245318,25404359.62515762
64,1665360000,2022-10-10,BTC/USD,19436.0,19525.0,19029.0,19131.0,1052.98301829,20144618.122905992
65,1665273600,2022-10-09,BTC/USD,19421.0,19604.0,19324.0,19445.0,707.27451611,13752952.965758951
66,1665187200,2022-10-08,BTC/USD,19533.0,19624.0,19259.0,19420.0,517.31876324,10046330.3821208
67,1665100800,2022-10-07,BTC/USD,19960.0,20056.0,19335.0,19532.0,1290.58016407,25207611.76461524
68,1665014400,2022-10-06,BTC/USD,20161.0,20447.0,19864.0,19951.0,1438.88952495,28707284.91227745
69,1664928000,2022-10-05,BTC/USD,20343.0,20366.0,19735.0,20162.0,1789.84892196,36086933.96455752
70,1664841600,2022-10-04,BTC/USD,19633.0,20469.0,19497.0,20343.0,2455.5428922,49953109.0560246
71,1664755200,2022-10-03,BTC/USD,19060.0,19715.0,18975.0,19636.0,1109.13176723,21778911.381328277
72,1664668800,2022-10-02,BTC/USD,19306.0,19395.0,18931.0,19051.0,518.03380521,9869062.02305571
73,1664582400,2022-10-01,BTC/USD,19419.0,19484.0,19174.0,19312.0,378.60698732,7311658.139123839
74,1664496000,2022-09-30,BTC/USD,19593.0,20171.0,19152.0,19425.0,2413.78432301,46887760.47446925
75,1664409600,2022-09-29,BTC/USD,19413.0,19630.0,18852.0,19592.0,1812.62118977,35512874.34997384
76,1664323200,2022-09-28,BTC/USD,19085.0,19770.0,18461.0,19413.0,3817.64021997,74111849.59027761
77,1664236800,2022-09-27,BTC/USD,19233.0,20381.0,18822.0,19075.0,4423.71693902,84382400.6118065
78,1664150400,2022-09-26,BTC/USD,18809.0,19313.0,18690.0,19226.0,3167.38799752,60896201.640319526
79,1664064000,2022-09-25,BTC/USD,18919.0,19182.0,18636.0,18810.0,979.44306377,18423324.029513694
80,1663977600,2022-09-24,BTC/USD,19291.0,19309.0,18817.0,18921.0,922.02394143,17445614.99579703
81,1663891200,2022-09-23,BTC/USD,19411.0,19491.0,18533.0,19294.0,2593.18338023,50032880.13815761
82,1663804800,2022-09-22,BTC/USD,18458.0,19541.0,18368.0,19403.0,2607.0417597,50584431.2634591
83,1663718400,2022-09-21,BTC/USD,18877.0,19902.0,18157.0,18466.0,5332.93776764,98478028.81724024
84,1663632000,2022-09-20,BTC/USD,19535.0,19634.0,18717.0,18878.0,2544.25288865,48030406.0319347
85,1663545600,2022-09-19,BTC/USD,19418.0,19679.0,18271.0,19538.0,3418.2169402,66785122.5776276
86,1663459200,2022-09-18,BTC/USD,20116.0,20116.0,19343.0,19419.0,1609.63965374,31257592.43597706
87,1663372800,2022-09-17,BTC/USD,19802.0,20187.0,19757.0,20114.0,947.27782708,19053546.21388712
88,1663286400,2022-09-16,BTC/USD,19704.0,19887.0,19330.0,19802.0,2514.42684614,49790680.407264285
89,1663200000,2022-09-15,BTC/USD,20226.0,20432.0,19500.0,19691.0,2531.5711628,49849167.7666948
90,1663113600,2022-09-14,BTC/USD,20175.0,20526.0,19623.0,20233.0,2793.90630535,56529106.276146546
91,1663027200,2022-09-13,BTC/USD,22396.0,22781.0,19862.0,20177.0,3927.08003147,79236693.79497018
92,1662940800,2022-09-12,BTC/USD,21836.0,22485.0,21565.0,22401.0,2496.98699671,55935005.713300705
93,1662854400,2022-09-11,BTC/USD,21663.0,21871.0,21360.0,21835.0,844.39459098,18437355.8940483
94,1662768000,2022-09-10,BTC/USD,21371.0,21814.0,21125.0,21672.0,1355.39296702,29374076.38125744
95,1662681600,2022-09-09,BTC/USD,19327.0,21610.0,19303.0,21371.0,4009.32373236,85683257.48426557
96,1662595200,2022-09-08,BTC/USD,19301.0,19454.0,19023.0,19322.0,1759.19295086,33991126.19651692
97,1662508800,2022-09-07,BTC/USD,18808.0,19456.0,18540.0,19276.0,1946.27402334,37516378.07390184
98,1662422400,2022-09-06,BTC/USD,19799.0,20181.0,18669.0,18789.0,3216.97354596,60443715.95504245
99,1662336000,2022-09-05,BTC/USD,20014.0,20051.0,19634.0,19794.0,975.96352852,19318222.08352488
100,1662249600,2022-09-04,BTC/USD,19840.0,20025.0,19586.0,20007.0,468.46460815,9372571.41525705
101,1662163200,2022-09-03,BTC/USD,19950.0,20053.0,19667.0,19840.0,454.45221631,9016331.9715904
102,1662076800,2022-09-02,BTC/USD,20133.0,20440.0,19762.0,19959.0,1704.54970941,34021107.65011419
103,1661990400,2022-09-01,BTC/USD,20049.0,20202.0,19573.0,20128.0,1841.61890225,37068105.264488
104,1661904000,2022-08-31,BTC/USD,19836.0,20490.0,19822.0,20059.0,2271.16555773,45557309.922506064
105,1661817600,2022-08-30,BTC/USD,20300.0,20575.0,19552.0,19819.0,2061.62816733,40859408.64831327
106,1661731200,2022-08-29,BTC/USD,19571.0,20415.0,19557.0,20302.0,1226.5339045,24901091.329159003
107,1661644800,2022-08-28,BTC/USD,20044.0,20159.0,19526.0,19557.0,883.35771116,17275826.75715612
108,1661558400,2022-08-27,BTC/USD,20242.0,20376.0,19766.0,20045.0,1322.83765891,26516280.87285095
109,1661472000,2022-08-26,BTC/USD,21550.0,21870.0,20119.0,20250.0,3482.0913778,70512350.40044999
110,1661385600,2022-08-25,BTC/USD,21364.0,21813.0,21319.0,21571.0,1134.96366241,24482301.161846112
111,1661299200,2022-08-24,BTC/USD,21523.0,21892.0,21142.0,21372.0,1825.65585841,39017917.00593852
112,1661212800,2022-08-23,BTC/USD,21404.0,21672.0,20899.0,21520.0,1237.15547461,26623585.8136072
113,1661126400,2022-08-22,BTC/USD,21517.0,21530.0,20901.0,21411.0,1428.98968096,30596098.05903456
114,1661040000,2022-08-21,BTC/USD,21150.0,21778.0,21070.0,21514.0,1070.7625595,23036385.705083
115,1660953600,2022-08-20,BTC/USD,20840.0,21368.0,20769.0,21146.0,1475.27766281,31196221.45778026
116,1660867200,2022-08-19,BTC/USD,23192.0,23202.0,20785.0,20841.0,3558.4209748,74161051.53580679
117,1660780800,2022-08-18,BTC/USD,23348.0,23593.0,23103.0,23201.0,888.93580166,20624199.53431366
118,1660694400,2022-08-17,BTC/USD,23866.0,24448.0,23176.0,23340.0,1814.51630224,42350810.4942816
119,1660608000,2022-08-16,BTC/USD,24103.0,24250.0,23673.0,23867.0,761.78640254,18181556.06942218
120,1660521600,2022-08-15,BTC/USD,24324.0,25212.0,23782.0,24110.0,1764.96054871,42553198.8293981
121,1660435200,2022-08-14,BTC/USD,24459.0,25053.0,24161.0,24320.0,1360.86975366,33096352.4090112
122,1660348800,2022-08-13,BTC/USD,24421.0,24900.0,24301.0,24456.0,891.42169723,21800609.02745688
123,1660262400,2022-08-12,BTC/USD,23957.0,24459.0,23615.0,24407.0,1258.79271631,30723353.826978173
124,1660176000,2022-08-11,BTC/USD,23961.0,24921.0,23867.0,23959.0,1964.2043205,47060371.3148595
125,1660089600,2022-08-10,BTC/USD,23151.68,24228.0,22668.57,23964.0,2251.388441,53952272.600124
126,1660003200,2022-08-09,BTC/USD,23811.29,23927.44,22880.22,23164.78,1206.11169091,27939311.97535815
127,1659916800,2022-08-08,BTC/USD,23177.72,24246.06,23169.64,23821.68,1845.04091771,43951974.328593954
128,1659830400,2022-08-07,BTC/USD,22946.0,23411.55,22855.14,23187.62,691.3833738,16031534.945992354
129,1659744000,2022-08-06,BTC/USD,23326.5,23354.54,22919.76,22956.61,672.14529689,15430177.444037944
130,1659657600,2022-08-05,BTC/USD,22630.14,23478.0,22587.94,23326.4,2070.35989801,48294043.12494047
131,1659571200,2022-08-04,BTC/USD,22830.37,23228.77,22400.0,22615.24,1537.96629545,34781476.88351266
132,1659484800,2022-08-03,BTC/USD,22997.07,23642.14,22686.12,22835.88,1306.29502305,29830396.39096704
133,1659398400,2022-08-02,BTC/USD,23291.67,23468.33,22665.98,23001.52,1441.50641868,33156838.719396394
134,1659312000,2022-08-01,BTC/USD,23287.38,23511.5,22861.0,23282.92,1310.17180502,30504625.322536256
135,1659225600,2022-07-31,BTC/USD,23652.53,24190.09,23241.0,23322.53,1624.15172546,37879327.34159262
